"eez","n_species","n_endemics"
"Overlapping claim: Puerto Rico / Dominican Republic",19,
"Overlapping claim: Sudan / Egypt",90,3
"Overlapping claim: Trinidad and Tobago / Venezuela / Guyana",10,1
"Overlapping claim: Venezuela / Colombia / Dominican Republic",4,
"Pakistani Exclusive Economic Zone",738,27
"Palau Exclusive Economic Zone",3106,136
"Palestinian Exclusive Economic Zone",54,
"Palmyra Atoll Exclusive Economic Zone",1079,4
"Panamanian Exclusive Economic Zone",4699,534
"Papua New Guinean Exclusive Economic Zone",7846,534
"Peruvian Exclusive Economic Zone",2329,339
"Philippines Exclusive Economic Zone",10744,1448
"Pitcairn Islands Exclusive Economic Zone",461,5
"Polish Exclusive Economic Zone",671,13
"Portuguese Exclusive Economic Zone",3243,181
"Portuguese Exclusive Economic Zone (Azores)",2413,367
"Portuguese Exclusive Economic Zone (Madeira)",1153,63
"Protected Zone established under the Torres Strait Treaty",336,
"Puerto Rican Exclusive Economic Zone",2199,87
"Qatari Exclusive Economic Zone",537,48
"Romanian Exclusive economic Zone",917,69
"Russian Exclusive economic Zone",4054,810
"Réunion Exclusive Economic Zone",2135,108
"Saba Exclusive Economic Zone",506,
"Saint Kitts and Nevis Exclusive Economic Zone",234,3
"Saint Lucia Exclusive Economic Zone",630,7
"Saint Vincent and the Grenadines Exclusive Economic Zone",710,20
"Saint-Barthélemy Exclusive Economic Zone",332,
"Saint-Martin Exclusive Economic Zone",795,19
"Saint-Pierre and Miquelon Exclusive Economic Zone",406,1
"Samoan Exclusive Economic Zone",790,6
"Sao Tome and Principe Exclusive Economic Zone",687,52
"Saudi Arabian Exclusive Economic Zone",2372,202
"Senegalese Exclusive Economic Zone",1132,76
"Seychellois Exclusive Economic Zone",3892,291
"Sierra Leonian Exclusive Economic Zone",617,8
"Singaporean Exclusive Economic Zone",729,45
"Sint-Eustatius Exclusive Economic Zone",172,1
"Sint-Maarten Exclusive Economic Zone",78,1
"Slovenian Exclusive Economic Zone",212,17
"Solomon Islands Exclusive Economic Zone",3898,277
"Somali Exclusive Economic Zone",2149,132
"South African Exclusive Economic Zone",8859,2468
"South African Exclusive Economic Zone (Prince Edward Islands)",634,63
"South Korean Exclusive Economic Zone",2111,361
"Spanish Exclusive Economic Zone",6085,550
"Spanish Exclusive Economic Zone (Canary Islands)",1639,102
"Sri Lankan Exclusive Economic Zone",2090,92
"St. Helena Exclusive Economic Zone",400,14
"Sudanese Exclusive Economic Zone",699,60
"Surinamese Exclusive Economic Zone",1277,56
"Svalbard Exclusive Economic Zone",2600,140
"Swedish Exclusive Economic Zone",2514,119
"Syrian Exclusive Economic Zone",22,
"Taiwanese Exclusive Economic Zone",4497,223
"Tanzanian Exclusive Economic Zone",2095,121
"Thailand Exclusive Economic Zone",2838,182
"Togolese Exclusive Economic Zone",454,8
"Tokelau Exclusive Economic Zone",202,
"Tongan Exclusive Economic Zone",2182,68
"Trinidad and Tobago Exclusive Economic Zone",1305,33
"Tristan Da Cunha Exclusive Economic Zone",559,65
"Tunisian Exclusive Economic Zone",1154,36
"Turkish Exclusive Economic Zone",1054,118
"Turkmen Exclusive Economic Zone",16,8
"Turks and Caicos Exclusive Economic Zone",473,12
"Tuvaluan Exclusive Economic Zone",1030,33
"United Arab Emirates Exclusive Economic Zone",295,4
"United Kingdom Exclusive Economic Zone",7900,842
"United States Exclusive Economic Zone",24167,4993
"United States Exclusive Economic Zone (Alaska)",4245,674
"United States Exclusive Economic Zone (Hawaii)",4906,884
"Uruguayan Exclusive Economic Zone",919,83
"Vanuatu Exclusive Economic Zone",4389,297
"Venezuelan Exclusive Economic Zone",5213,502
"Vietnamese Exclusive Economic Zone",2182,100
"Virgin Islander Exclusive Economic Zone",1600,55
"Wake Island Exclusive Economic Zone",806,16
"Wallis and Futuna Exclusive Economic Zone",1027,23
"Yemeni Exclusive Economic Zone",1565,87
